data,label,hard_neg
两个人正在把手提箱装进一辆汽车的后备箱里,这些人正在把手提箱放进汽车后备箱,一辆摩托车停一辆汽车旁边
鱼在游泳,一条鱼在游泳,男人鱼吃内脏
两个女人在食品加工机里混合了一些东西,两个女人在搅拌机里做东西,女人美容品混合玻璃杯里
那人把黄油涂在面包上,一个男人正在把黄油涂在面包上,那人切面包
一个人在煮面条,一个女人在水里煮面条,一个女人做面条
一个婴儿在笑,一个婴儿在笑和咯咯地笑,一个婴儿笑咯咯地笑
那人在吃披萨,一个男人正在吃一片比萨饼,那人弹钢琴
一个绿色的大球打翻了一个土豆,一个绿色的大球打在土豆上,一个男人切土豆
两只狗在游泳池里游泳,狗在游泳池里游泳,一只黑白相间狗游泳池里游泳
女人切豆腐,一个女人在切豆腐,一个女人切豆腐
公鸡啄死老鼠,一只小鸡在啄一只死老鼠,一只小鸡啄一只死老鼠
一个男人正在把土豆切成碎片,一个男人在切土豆,一个男人西红柿切成碎片
一个人在玩键盘,有人在玩键盘,一个男人玩键盘
一辆汽车在路上行驶,一辆汽车正沿着这条路行驶,一辆汽车正这条路行驶
一个男人开着他的车,一个男人在开车,一个人路上开着摩托车
这个男孩正在弹钢琴,一个男孩弹钢琴,一个男孩弹钢琴
一个男人在披萨上放了些奶酪,那人把奶酪撒在比萨饼上,一个男人披萨盒里拿出一块意大利香肠比萨饼关上披萨盒后放在盖子上
人们走下火车,一群人下了火车,一男一女走
一个男人在给一块面包涂黄油,一个男人在面包上涂黄油,一个男人大片面包上涂黄油
一匹黑马跑来跑去,马在跑,一只狗院子里跑来跑去
两只斑马在玩耍,斑马在社交,两只熊猫宝宝玩耍
獾在挖洞,一只獾在挖土,一只雪中挖洞黑狗
女人切大蒜瓣,一个女人正在把一头大蒜打碎成丁香,一个女人切大胡椒粉
一只狗仰卧在木地板上,一只狗躺在地板上,两只小猎犬家木地板上玩耍
一个男人把调味品放在一碗水里,那人往碗里的水里加了调味料,一个女人一块块肉放在平底锅里
狗沿着游泳池边走,一只狗正沿着游泳池散步,一只狗跳进游泳池
黄油被放进碗里,一个人把黄油切进搅拌碗里,有人米饭放进平底锅里
那人正在把磁带从盒子里切下来,一个男人正在切开一个盒子,一只猫盒子里玩耍
那个女人正在遛狗,一个女人在街上遛狗,一个女人女人跳舞
一群人唱歌,有些人在唱歌,一个人唱歌
猫在喝牛奶,一只猫正在用一碟牛奶舔东西,猫玩耍
纸正在用剪刀剪,一张纸被剪下来了,一个男孩剪刀割草
犀牛在草地上吃草,犀牛在田野里吃草,一头牛吃草
这位女士切了一片西红柿,有人在切西红柿,有人切西红柿
一位骑手正在奔跑和跳跃她的马,一个女人骑着马跳跨栏,年轻骑手骑着那匹棕色马
一个男人在抽烟,那人穿着西装坐着抽烟,一个男人抽烟
一个男人在骑自行车,一个男人在骑自行车,一个男人骑自行车
一个女人在切洋葱,一个女人在切洋葱,一个女人切洋葱
那个人在画,一个男人在画,一个男人画一幅画
一个女人在切洋葱,一个女人正在切洋葱,一个女人切洋葱
一列玩具火车撞上了一辆玩具汽车,一列玩具火车撞上了一辆玩具汽车,狗玩具吠叫
一只猫打开抽屉，爬了进去,一只猫正打开抽屉往里爬,一只大猫爪子打开一个塑料抽屉跳进去
一个女人在煎食物,一个女人在油炸食物,一个女人煎虾
一个女人在刷虾,一个女人在刷一些虾,一个女人煎虾
一个男人在天花板上跳舞,一个男人在房间的天花板上跳舞,一个男人跳舞
一个女人用一把大刀把洋葱切成薄片,一个女人正在用一把大刀切洋葱,一个女人洋葱切成半片
一个人弹吉他,一个人在弹吉他,一个人弹吉他
一个女人在剥土豆,女人剥土豆,一个女人剥土豆
一只乌龟在走,一只乌龟在走路,一只猴子床上走
那人在弹吉他,一个人在弹吉他,那人弹吉他
一个女人在桌子上轻敲她的手指,一个女人在敲打她的手指,一尊佛像坐在一张桌子上桌子上一个木制跑步机
有人在锅里煮秋葵,有人在平底锅里煮秋葵,有人动物
那个人在打鼓,一个人在打鼓,一个人打鼓
一名男子潜入游泳池,一个男人正跳进游泳池里,一名男子水管另一名男子喷水
有个女人在堵住漏洞,一个女人在切韭菜,做有个穆斯林办公室
一个小男孩在弹吉他,一个男孩在弹吉他,小男孩唱歌弹吉他
一个人弹钢琴,一个人弹钢琴,一个人弹钢琴
一个人在切黄瓜,一个人在割黄瓜,一个人在切黄瓜
两个小女孩在电话里聊天,两个女孩在电话里聊天,一男一女餐厅里聊天
一个男人在用斧头砍木头,一个男人正在用斧头砍树干,熊猫宝宝木头上放松
一只小猫在玩球,一只小猫在玩球,一只棕色狗水中玩球
两个人在牧场上打架,两个人在牛圈里打架,两个人打架
一个女孩整理她的床,一个年轻女孩铺床,一个女人整理头发
猫在玩西瓜,一只猫在玩西瓜,一只猫玩键盘
一个女孩跳上了一辆车,一个女孩跳上了一辆车,一个男人车库里上一辆车
两个机器人接吻,两个机器人在接吻,两个机器人共用一个吻
两个男孩在沙发上玩电子游戏,两个男孩正在玩电子游戏,两个男孩海滩上玩
一个女人在挤柠檬,一个女人正在榨柠檬汁,一个女人切柠檬
一个人走下楼梯,一个男人走下楼梯,三个人走回家妻子人
袋鼠在吃东西,吃袋鼠,浣熊吃东西
一个男人在开车,一个男人开着一辆车,一个男人开车
女人在剥洋葱,女人烤洋葱,一个人剥洋葱
一个女人正在把鸡蛋打进碗里,一个女人在劈鸡蛋,一个女人鸡蛋打进碗里
一个人在玩键盘,一个男孩在玩键盘,一个男人玩键盘
一个男人用刀割破了一串水瓶,一个男人正在用刀切一排水瓶,一个男人背着一个男人
一个女人把花椰菜切成块,一个女人在切西兰花,一个人洋葱切成小块
婴儿又笑又爬,一个婴儿笑着爬在地板上,婴儿爬门口
一个女人在开枪,一个女人射出一把猎枪,一个女人开枪
这个男人正在剥苹果,一个人剥苹果,一个女人剥苹果
那个女人在切洋葱丁,一个女人在切洋葱,一个女人切洋葱
一只猴子在给一只公牛刷牙,猴子刷狗,一只猴子床上走
一个男人正在吃一碗麦片粥,这个男人正在吃麦片,一个男人吃东西
一个女人正在浴缸里洗澡,一个女人正在洗澡,一个女人洗澡
一个骑摩托车的人撞上了他的摩托车,一个人撞上了一辆摩托车,一个男人骑摩托车
一个男人凝视着窗外,一个男人望着窗外,两只猫坐在沙发上窗外
这位女士把婴儿放进垃圾桶里,一个女人把一个婴儿扔进了垃圾桶,这位女士剥去虾皮
一个男人在房间的天花板上跳舞,一个男人在天花板上倒立跳舞,一个男人跳舞
鹿跳过篱笆,一只鹿跳过旋风栅栏,两匹白马盯篱笆
一个人用鼻子玩键盘,这个男人正在用鼻子弹钢琴,一个男人玩键盘
一个人在举重,一个男人在举起杠铃,一个男人举重
那男孩吹小号,一个男孩在吹小号,一个人吹小号
一个乐队正在舞台上表演,一个乐队在舞台上演奏和唱歌,一个男人舞台上表演
一个人在用剑割绳子,那人用剑穿过一根粗绳子,一个人割树叶
美国国旗在飘扬,一面美国国旗在风中飘扬,金发女人戴着一顶黑色美国国旗格子花帽子
那个女人把茄子滴进锅里,一个女人把切碎的茄子放进煎锅里,一个人剥茄子
一个男人正在准备一根挂着的绳子,一个男人在系绞索,一个男人爬上一根绳子
一个拿着刀的女人正在切胡椒粉,一个女人在切青椒,一个女人切胡椒粉
人们把假人扔到悬崖边,有些人把假人扔下悬崖,财政悬崖众议院推迟财政悬崖协议投票现场直播
女人切菠萝,一个女人正在把菠萝切成片,女人切豆腐
一个人正在往锅里加油,厨师往锅里倒油,一个男人往锅里倒油
一个人在割草,一个人在割草坪,一个人割草
那人在木头上钻了几个洞,一个人钻木头,那人电线上保持平衡
一只兔子在嗅着一只填充的兔子，用爪子抓它,一只活生生的兔子正在玩一只填充动物兔子,一只狗地毯上用爪子抓一只苍蝇
一个男人正在取出青椒的内部,有人正在把胡椒粉上的种子去掉,面对救助税塞浦路斯人试图银行取出现金
一只小猫正在吃盘子里的食物,小猫吃东西,只鸟吃树上碗里食物
这个人正在把鱼身上的鳞片去掉,一个人在给鱼除鳞,乌龟鱼
那人举起杠铃,男人举重,一个男人举起一辆汽车
一名妇女迅速发射手枪,一个女人在开枪,一名妇女正试图乘着一个小浪
这名男子正在用雪橇打破另一名男子身上的混凝土砌块,一个人用一把大锤打破躺在一个俯卧着的人身上的一块混凝土板,另一名来自得克萨斯州沃思堡男子失踪
这位女士把干面条放在热水里煮,一个女人把一盒面条放在一锅水里,一个女人水里煮面条
两个孩子在游泳池里玩着一个绿色的鳄鱼花车,两个孩子在游泳池里推着一条充气鳄鱼,一个女人三个孩子公园里玩
两辆绿色和白色的火车坐在铁轨上,两列绿色和白色的火车在铁轨上,坐在田地铁轨上火车
在街上行驶的公共汽车,红色双层巴士沿着街道行驶,红色公共汽车街上
在车站等候的旅客列车,车站里坐着一列旅客列车,车站旅客列车
这个男人正骑着摩托车沿着这条路走去,一个男人在路上骑着一辆红色的摩托车,一辆汽车正这条路行驶
关闭一瓶水,一瓶水的近景,一位女士打开一瓶苏打水喝
站在田野里的一匹深褐色的马,一匹棕色的马站在郁郁葱葱的田野里,站田野里一匹深褐色马
一群人围着一张桌子坐着，桌子上放着食物,一群人围坐在一张桌子旁，端着食物和啤酒,一群人围坐在一张摆满食物桌子旁
干草中的一头黑白相间的母牛,一头黑白相间的母牛在一只装有干草的围栏里,站草地上一头黑白相间母牛
一位老妇人站在厨房里，脚边站着两只猫,老太太站在厨房里，脚边放着两只猫,一位老妇人煎锅里倒油
坐在草地上的伪装飞机,一架伪装的飞机坐在绿草如茵的草地上,一个男人坐在草地上望天空
红色双层巴士驶过街道,双层客车随车行驶,红色双层巴士
一艘游轮停靠在海岸线上,停泊在岸边的游轮,一艘港口大游轮有树
在草地上放牧的一群马,在田野里吃草的一群马,人站马人行道上
那只黑鸟正坐在地上,一只黑鸟坐在地上,黑鸟坐在水泥板上
在雪地里，一个女人在一座公寓楼前摆姿势,一位妇女站在雪地里的一座建筑物前,小丑镜头前摆姿势
放在地板上的一台黑色平板电视,地板上有一台平板电视,一台苹果电脑放在地板上
黑色火车在铁轨上,火车轨道上的火车,铁轨上大部分黑色火车
黑色火车在铁轨上,火车轨道上的火车,铁轨上大部分黑色火车
一对夫妇在沙发上摆姿势拍照,年轻夫妇坐在沙发上,一对夫妇走街上
一群人坐在一张饭桌旁,一群人围着一张桌子坐着，桌子上放着食物,一群人坐在一张饭桌旁
在一张小桌子下打盹的狗,睡在桌子底下的狗,一个小孩子滑下一张橙色滑梯
红色双层巴士在路边,城市街道上的一辆红色双层公共汽车,红色双层巴士载客
灰色的猫看着窗外,一只猫从窗户往外看,一只灰色黑色白色猫看着相机
一张黑白相间的母牛在树下的照片,一张黑白照片，一头牛在田野里的一棵树下行走,黑白相间母牛大门前停
在车站等候的美国铁路客运列车,在车站等候的旅客列车,雪地里客运列车
在水上航行的帆船,泛舟在蓝色的水面上,水上航行帆船
停在白色双层巴士上,一辆红白两色的双层公共汽车停在那里,红色双层巴士载客
两只鸟栖息在一条金属带上,两只小鸟栖息在一根金属棒上,一只红色鸟栖息一棵树上
一位戴着手镯的年轻女子穿着比基尼上衣和牛仔裤,穿着比基尼上衣和牛仔裤的女人,一位穿着黑色上衣一条项链年轻女子
一匹棕色的马在绿草的田野里吃草,棕色的马站在草地中间,田野里吃草一群马
火车在铁轨上行驶,火车在轨道上滑行,火车雪地里铁轨上行驶
黄色条纹猫躺在蓝色沙发上,一只橙色的猫睡在沙发上,一只橙色猫睡沙发上
红色双层巴士,一辆红色双层巴士,红色双层巴士载客
挂着舌头的羊的特写镜头,把一只羊的舌头伸出来的形象合起来,马头特写镜头
站在田野里的一头黑白相间有角的母牛,站在田野里的一头黑白相间的母牛,站田野里一头黑白相间有角母牛
在竞技场上骑着一匹白马的人,一个骑着白马的人,竞技场上骑一匹白马人
一个穿骑服的女孩坐在一匹棕色的马上,一个穿红衬衫的女孩骑着一匹棕色的马,一个穿着骑马装备金发女孩坐在一匹灰白相间马上
书架前一把透明的塑料椅子,书架前有一把透明的塑料椅子,一个男孩一把塑料剑一个人屁股
一只羊站在山坡上,站在山上的一只大羊,羊站青山上
地板上有一台平板电视,地板上坐着一台平板电视,一台苹果电脑放在地板上
有几台电脑显示器的房间,一间连续有四台电脑显示器的房间,墙上几台电脑图片房间
站在草地上的一头黑白相间的母牛,站在田野里的一头黑白相间有角的母牛,站草地上一头黑白相间母牛
一张猫躺在地上的黑白照片,猫躺在地毯上的黑白图像,一张摩托车躺地上黑白照片
一位戴着手镯的年轻女子穿着比基尼上衣和牛仔裤,一个穿牛仔裤，深色比基尼上衣和手镯的女人,一位穿着黑色上衣一条项链年轻女子
有人站在白雪皑皑的山上，看着一架飞机,一个男人站在山上，看着一架飞机,一架飞机空中飞行
一名妇女在围栏内抚摸一只狗,一个女人在一个封闭的院子里抚摸着一只狗,一个男人抚摸一只拴着狗
火车停在火车站,蓝色的火车在车站,火车火车站
红色双层巴士载客,一辆红色双层公共汽车在城市里搭载了更多的乘客,红色双层巴士载客
一张可口可乐玻璃瓶的黑白照片,这是一张黑色和白色的照片，上面是一个矮胖的可口可乐瓶子,一张特写扭曲空玻璃瓶照片
四架蓝黄相间的飞机飞越四艘船,四架蓝色和黄色的飞机在飞行,一架红蓝相间飞机起落架放下
火车在火车站,停在火车站的火车,火车停火车站
一群羊在山上吃草,一群羊在山上,田野里吃草一群马
一位妇女坐在沙发上抱着一个小婴儿,坐在沙发上抱着孩子的女人,一位妇女抱一个婴儿摆姿势
两个女人在镜头前摆姿势，竖起大拇指,两个微笑的年轻女子竖起大拇指,一位金发白衣女士镜头前摆姿势
一辆双层红色联合巴士停在城市街道上,一辆双层红色公共汽车在路上行驶,红色双层巴士街道行驶
两头奶牛在池塘里饮水,两头牛正在池塘里饮水,一张奶牛牛栏里黑白照片
两个年轻人坐在一张桌子旁，旁边是一扇滑动的玻璃门，其中一个人指着另一个,两个人面对面地坐在一张桌子旁，一个人对着另一个人,两个人坐在餐厅一张桌子旁
那只黑狗躺在草地上,一只黑狗躺在草地上,草地上一只小黑狗
一只蓝色的鸟栖息在戴手套的人的手上,鸟栖息在一个人戴着手套的手上,一只红色鸟栖息一棵树上
一列长长的火车在铁轨上,火车轨道上的火车,一列黑色火车铁轨行驶
一架银色的Areo墨西哥喷气式客机停在停机坪上,一架墨西哥航空公司的银色飞机在跑道上,一架直升机正降落直升机停机坪上
这个男人坐在一张乱七八糟的桌子旁，用着笔记本电脑,一个男人坐在一张凌乱的桌子上看着一台笔记本电脑,四个人坐在一张桌子旁
一辆黄色的校车停在一个农村地区,一辆黄色的校车停在田野里,那辆黄色摩托车停街上
在拍卖会上，一只羊站在一张桌子上,毛茸茸的羊在拍卖行,羊站青山上
一只橘色和白色的猫睡在皮椅上,一只橙色和白色的猫躺在黑色皮椅上的毯子上,一只灰色白色猫睡紫色布料上
一列黑色的火车沿着铁轨行驶,在铁轨上行驶的火车,铁轨上行驶黑色蒸汽火车
一辆蓝色摩托车停在人行道上,一辆蓝色的轻便摩托车停在人行道上,一辆红色轻便摩托车停涂鸦前人行道上
城市街道上的一辆红色双层公共汽车,一辆红色双层公共汽车沿着街道行驶,城市街道上双层公共汽车
几头牛在路边的中间地带吃草,五头牛在两条公路之间的一片草地上吃草,牛田里吃草
一头黑色的母牛和一头棕色的母牛站在一棵连根拔起的树前的平原上,一头黑色的母牛和一头棕色的母牛站在田野里一小丛树的前面,站草地上一头黑白相间母牛
一群人坐在一张饭桌旁,一群人坐在饭馆的桌子旁,一群人坐在一张饭桌旁
桌子上的电脑,在书桌上操作的计算机,戴眼镜电脑上打字男孩
沙滩上的黄色小船,岸边有一条黄色的小船,四个人绿水上小船上
一只灰色的猫坐在窗台上看着照相机,猫站在窗台上看着照相机,一只猫背上看着照相机
红色双层巴士沿着街道行驶,城市街道上的双层公共汽车,一辆红色双层公共汽车街道行驶
三头牛在一片草地上吃草,三头牛在田里吃草,三头牛田里吃草
一架白色飞机在跑道上,一架白色飞机在跑道上,一架白色飞机停水泥上
被宠爱的棕褐色小狗,一只棕褐色的小狗被抱着并抚摸着,一只棕褐色狗跳去接网球
一只绿眼睛的灰猫看着相机,一只灰色的猫用绿色的眼睛看着照相机,一只灰色猫绿色眼睛看着照相机
喂羊的男孩,喂羊干草的男孩,两个男孩开车
白羊正站在青山上,一只羊站在山坡上,羊站青山上
一张破损的木栅栏的黑白照片,一张黑白相间的照片，是一条肮脏的街道附近的一道旧木制篱笆,一张自行车黑白照片
有许多贴纸的停车标志的背面,停车标志的背面用贴纸装饰,家猫躺猫窝背面
一辆自行车停在书店外面,一辆停在书店外面的绿色自行车,一辆停书店外面绿色自行车
一辆棕色的双层游览车在街道上，后面有一个摩天轮,在摩天轮前行驶的双层公共汽车,一辆双层公共汽车城市街道上行驶
两个女人和一只黑狗站在客厅里,两个女人站在客厅里，一只黑狗正朝镜头望着,两个孩子一只黑狗雪地里玩耍
一辆蓝色老式汽车前灯的特写镜头,关闭一辆蓝色汽车的前灯,一匹戴着蓝色缰绳马特写镜头
一只黑白相间的猫躺在毯子上,一只黑白相间的猫睡在一条紫色的毯子上,一只黑白相间猫躺毯子上
背景中有一张餐桌的起居室,以餐厅为背景的起居室景观,背景中有一张餐桌起居室
一辆红灰相间的火车正在通过一条隧道,一列红灰相间的火车穿过树丛中的一条隧道,旧蓝白相间火车铁轨上
红色双层巴士的引擎盖打开,一辆旧的红色伦敦双层巴士的引擎盖升起,红色双层巴士带引擎盖
红色双层巴士驶过街道,红色双层巴士沿着街道行驶,红色双层巴士
男孩和狗躺在沙发上,这个男孩和一只小狗躺在沙发上,一个笑男孩躺一堆蓝色球上
猫躺在地毯上的黑白图像,一只猫躺在地毯上的黑白照片,一只白色猫站地毯上
八瓶竖琴啤酒在地板上排成一行,八瓶竖琴啤酒排在木地板上,一台苹果电脑放在地板上
栖息在花盆上的鸟,鸟栖息在灰泥墙旁的花盆上,一只红色鸟栖息一棵树上
骑在马背上的年轻女子,穿着骑马装备的年轻女孩,一位年轻女子吹长笛
两只猫坐在沙发的后面，望着窗外,在一张海图中，两只猫坐在沙发的后面，望着窗外,一张猫坐在沙发上黑白照片
两个年轻的女人剪了一只羊,两个女人牵着一只羊,一只黑脸羊
一个年轻的女孩骑着一匹白色和灰色的马,一个小女孩骑着一匹白色和灰色的马,一个年轻女孩骑着一匹棕色马
有木柜和家具的厨房,厨房有木制的桌子和橱柜,一只猫背上一件家具爬行
一对夫妇抱着一个孩子,带着新生婴儿的夫妇,一对夫妇走街上
从喂食器里吃东西的小鸟,从喂食器里吃东西的鸟,一只棕色小鸟挂树上喂食器上吃东西
一只黑头白羊的近照,一只黑头羊的特写镜头,一只闭着眼睛猫近照
一个小男孩和一条狗躺在沙发上,一个小男孩和一只狗躺在沙发上,一个女人躺两个男人身上坐在沙发上
火车在铁轨上,火车轨道上的火车,坐在火车车场铁轨上火车
一辆红色的小轿车停在一辆半卡车上,白色半卡车顶上的红色跑车,一辆卡车下山
一个男人站在一辆黄色的跑车旁边,一个男人站在一辆黄色的克尔维特旁边,这是一辆雪佛兰跑车后视图
双层巴士，背景是伦敦眼摩天轮,一辆棕色的双层游览车在街道上，后面有一个摩天轮,红色双层巴士载客
一只蓝色的鸟栖息在戴着手套的手上,鸟栖息在一个人戴着手套的手上,一只红色鸟栖息一棵树上
一个婴儿拿着一包番茄酱,坐在高椅上的婴儿拿着一包番茄酱,一个婴儿睡着
马头的特写镜头,对一匹棕色马头的特写,马头侧面
火车在火车站,车站里的火车,火车停火车站
一只黑色的狗从水中冒出来，嘴里叼着一个白色的球,一只黑色的狗从水中走出来，嘴里叼着一个白色的球,一只棕色狗嘴里叼一个球水中飞溅
一对玩紫色球的狗,两只狗玩紫色足球,狗玩地板清洁剂
棕色和白色的狗在游泳池里游泳,一只棕色和白色的狗在后院的游泳池里游泳,一只黑白相间狗游泳池里游泳
两条狗在草地上奔跑,两只狗在草地上玩耍,一只狗草地上奔跑
一只黑棕色的狗在树林里跑来跑去,一只狗在树林中奔跑,一只棕色狗树林中奔跑
一个蹲着拿着相机的人,蹲着的人拿着一个大相机,一只棕色狗蹲草地上
一只狗在空中跳来跳去抓玩具,一只黑狗跳到空中去抓玩具,狗玩具吠叫
一个胳膊骨折的男孩正躺在床上休息,一个胳膊断了的男孩在睡觉,一只黑白相间猫躺猫床上
在滑板上耍花招的男,一个男孩在滑板上耍花招,滑板运动员半根管子上耍花招
一只穿着“超人”衬衫的狗睡在毯子上,一只穿着超人衬衫的棕色狗躺在一条蓝色毯子上,一只黑白相间猫睡紫色毯子上
那只白色和棕色的狗跑过草地,一只棕色和白色的狗跑过草地,只棕色白色狗雪中玩耍
两只狗正在穿过一片草地,两只狗在草地上奔跑,两只狗草地上玩耍
两个亚洲男人和亚洲女人坐在黑色的按摩椅上,两个亚洲男人和一个女人在按摩椅上放松,四个亚洲年轻人坐在书房客厅里
一个女孩玩的是一堆五颜六色的球,一个小女孩在一个五颜六色的球坑里玩耍,一个女孩玩秋千
一只白色和棕色的狗在草地上奔跑,一只棕色和白色的狗在草地上奔跑,一只棕色狗草地上奔跑
两只大狗在草地上奔跑,两只狗在草地上奔跑,两只狗草地上奔跑
一个小男孩从一张椅子跳到另一张椅子上,一个小男孩在他的房子里从一把椅子跳到另一张椅子上,一张黑色桌子白色毛茸茸椅子
一只嘴里叼着一根棍子游泳的狗,狗嘴里叼着一根棍子在水中游泳,一只嘴里叼一根棍子狗
一只黑贵宾犬在雪中嬉戏,一只黑色贵宾犬在雪中嬉戏,一只狗雪中玩耍
一只棕色和黑色的狗正跳着去接一个红色的球,一只棕色和黑色的狗跳向一个红色的球,一只棕色狗跳空中去接球
一群人在一辆红色消防车前,一群人站在一辆红色消防车周围,一辆红色双层巴士
一只黑狗在水中奔跑,一只黑狗正在水中奔跑,一只黑狗跳进水中
两个人在高尔夫球场上打高尔夫球,两个人在高尔夫球场上打高尔夫球,两个人一艘小帆船上航行
穿着蓝白相间队服追逐足球的孩子,一个穿着蓝色足球制服的小男孩在追逐一个球,旧蓝白相间火车铁轨上
两个人坐在码头的尽头,两个人坐在码头上,两个人坐在靠近水面码头上
那只棕色和白色的大狗在雪中奔跑,圣伯纳德狗在雪地里奔跑,只黑狗雪中奔跑
一个穿橙色衣服的女孩点了一支蜡烛,一个穿橘色衬衫的女孩点起蜡烛,女孩眼皮上用一支眼笔
一条狗在水面上晃动,一只狗把水抖掉了,两个人划着一条红色独木舟倒映在静止水面上
三个人在一块“禁止滑雪”的标牌后面摆着滑雪板的姿势,三个滑雪者站在一个禁止滑雪的标志后面,一个人滑雪板上跳跃
一只蓝领黑狗正在雪中奔跑,一只穿着蓝领的黑狗在雪地上奔跑,一只黑狗雪中奔跑
一群年轻人在湖水里游泳,许多孩子在水中玩耍和游泳,一个小女孩游泳池里游泳
在敏捷性比赛中，一只狗跳过障碍,一只狗跳过障碍球场的篱笆,一只狗雪地里跳飞盘
一只棕色的狗在草地上奔跑,一只棕色的狗在草地上奔跑,一只棕色狗草地上奔跑
一个滑雪者正掉进雪中,一个滑雪者的脸首先掉进了雪中,两名滑雪者雪地上空滑雪
两个曲棍球运动员在冰上打架,两个曲棍球运动员在冰上打斗,两个人打架
两只狗在田野里奔跑,两只狗在田野里玩耍,两只狗泥土里奔跑
一只跳过栅栏的狗,一只狗跳过了栅栏,一只小狗跳过一根黄色横梁
一只狗跳下码头跳入水中,黑狗跳下码头，跳入水中,码头水中一艘大船
两只狗在雪中玩耍,雪地里有两只黑狗,两只狗雪中玩耍
